logFC,PValue,FDR,Gene_name
-0.259710703,0.2111636,0.840851232,SL1344_0956
-0.221875293,0.211247897,0.840851232,hilD
0.277301134,0.212139655,0.840851232,pgm
0.242266879,0.21262033100000002,0.840851232,atpG
-0.28237170100000003,0.214286087,0.840851232,SL1344_1840
0.258118571,0.214380002,0.840851232,rpsA
0.28046169600000004,0.214407598,0.840851232,rpmC
-0.279549648,0.21466012199999998,0.840851232,cbiP
0.277625757,0.214910748,0.840851232,nuoH
0.314483518,0.21511288,0.840851232,rimM
-0.240296985,0.21539713100000002,0.840851232,typA
0.2991224,0.215827582,0.840851232,sbp
0.321401174,0.216042492,0.840851232,rfbV
-0.279423663,0.216272157,0.840851232,SL1344_2459
0.276094422,0.21725352,0.842850214,cytR
0.324538999,0.217774968,0.843060177,SL1344_2375
-0.25442601800000003,0.218584136,0.844215608,SL1344_3180
-0.299114971,0.219250152,0.844215608,SL1344_2047
-0.256625665,0.219477339,0.844215608,bacA
-0.23434079800000002,0.22019994199999998,0.844226122,SL1344_2139
-0.31391654,0.220416022,0.844226122,SL1344_1480
0.31945842399999996,0.22125212100000002,0.845633107,rplV
-0.253962043,0.22212653300000001,0.847180264,SL1344_3126
-0.287618395,0.22303654899999997,0.848856403,SL1344_3207
0.285121444,0.223594879,0.849189816,nhaR
0.271319037,0.22439085,0.850422465,rfbF
-0.298936443,0.22514526399999998,0.8514927809999999,SL1344_0339
-0.25287602600000003,0.22632105600000002,0.854148923,StyR-277
0.204061219,0.227505065,0.856824921,atpI
0.258715032,0.22924587100000002,0.8595374179999999,SL1344_3416
0.217930861,0.229503326,0.8595374179999999,smg
-0.294591832,0.22973866899999998,0.8595374179999999,iap
-0.289924287,0.230131138,0.8595374179999999,StyR-55
0.243146544,0.23169108,0.861158581,traG
0.243146544,0.23169108,0.861158581,traG
0.24842828399999997,0.232076614,0.861158581,cybC
-0.266392982,0.23266916699999998,0.861158581,yfhD
0.27810592,0.232849876,0.861158581,SL1344_0429
0.33609661,0.233938703,0.861158581,SL1344_3500
-0.291661447,0.235299123,0.861158581,hybG
-0.26317907,0.235666285,0.861158581,cpsB2
0.215143735,0.23572027899999998,0.861158581,slyB
0.2178856,0.235725619,0.861158581,mdh
-0.2633541,0.23730288100000002,0.861158581,ybiT
-0.284263098,0.237555586,0.861158581,yiiP
-0.298825535,0.23764535899999997,0.861158581,nrfE
0.303755259,0.23786424899999997,0.861158581,gptB
0.26319318,0.238114849,0.861158581,galM
-0.326881109,0.239542565,0.861158581,SL1344_0871
0.25149322,0.239749002,0.861158581,hemC
0.253279779,0.24088233899999997,0.861158581,cysW
-0.30788578899999997,0.24202474300000001,0.861158581,rnt
-0.23097131899999998,0.242188465,0.861158581,invH
0.214204156,0.24308454100000002,0.861158581,flgK
0.24978298899999998,0.243230963,0.861158581,hflC
0.299450011,0.24438183300000002,0.861158581,rplB
0.244654521,0.24442777100000002,0.861158581,proS
0.249475745,0.24461772199999998,0.861158581,SL1344_1647
0.26918327,0.244930037,0.861158581,glnE
0.26728866,0.245770696,0.861158581,fba
-0.30986503600000004,0.245873764,0.861158581,rfc
0.251671676,0.24588962600000003,0.861158581,cyoC
0.177069003,0.245997033,0.861158581,SL1344_2719
-0.178444436,0.246131299,0.861158581,CsrB
0.265713032,0.246766629,0.861158581,SL1344_4205
-0.270483664,0.246920207,0.861158581,STnc1400
0.260856622,0.24701818399999997,0.861158581,pez
-0.261101219,0.24737486399999997,0.861158581,basS
-0.246650013,0.247738603,0.861158581,nuoA
0.238482293,0.24775016800000002,0.861158581,atpF
-0.27608297,0.249605568,0.8648117390000001,SL1344_1439
-0.25223985,0.250091803,0.8648117390000001,rffD
-0.269414592,0.250564773,0.8648117390000001,STnc290
0.221360773,0.250718703,0.8648117390000001,ybgF
